"barcode";"reason"
"NY01421545_01";"horizontal"
"INPA0248526";"horizontal"
"INPA0248523";"horizontal"
"INPA0248528";"horizontal"
"NY01421926_01";"horizontal"
"NY01421575_01";"horizontal"
"HUFSJ001689_v00";"not exsicate"
"HUFSJ001133_v00";"not exsicate"
"HUFSJ002198_v00";"not exsicate"
"HUFSJ003255_v00";"not exsicate"
"HVASF000487_v01";"not exsicate"
"HUFSJ001689_v01";"label"
"INPA0019084_nd";"label"
"INPA0022379_nd";"label"
"INPA0032742_nd";"letter"
"INPA0023115";"letter"
"NL-U1484137";"letter"
"NY01397568_01";"letter"
"INPA0012286";"incomplete"
"INPA0146998";