seq;genus;specific_epithet;infraspecific_epithet;scientific_name_authorship;genus_new;specific_epithet_new;infraspecific_epithet_new;scientific_name_authorship_new
13103;Piper;corcovadensis;;(Miq.) C. DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
13102;Piper;corcovadensis;;(Miq.) C. DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
14401;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
14402;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
15707;Piper;corcovadensis;corcovadensis;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
22749;Piper;corcovadensis;;(Miq.) C. DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
21867;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
21865;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
21869;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
22109;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
22235;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
22342;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
23378;Piper;corcovadensis;;(Miq.) C. DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
25101;Piper;corcovadensis;corcovadensis;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
25395;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
26225;Piper;corcovadensis;corcovadensis;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
32000;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
31984;Piper;corcovadensis;corcovadensis;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
31983;Piper;corcovadensis;corcovadensis;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
31985;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
31998;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
31981;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
31986;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
32003;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
32004;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
36846;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
36934;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
37317;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
37361;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
37362;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
37460;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
37592;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
37776;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
37902;Piper;corcovadensis;corcovadensis;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
38097;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
38179;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
38682;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
39020;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
39185;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
39756;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
40239;Piper;corcovadensis;corcovadensis;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
40310;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
40727;Piper;corcovadensis;corcovadensis;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
42352;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
42311;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
42319;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
42317;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
42327;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
42331;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
42334;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
42344;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
42348;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
42346;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
42350;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
42318;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
42328;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
42335;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
42330;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
42333;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
42345;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
42349;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
42347;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
42353;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
42351;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
44250;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
10213;Piper;corcovadensis;;(Miq.) DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
13065;Piper;corcovadensis;;(Miq.) C. DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
37003;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
12004;Piper;corcovadensis;var. longiracemosum;(Yunck.) E.F. Guim. & M. Carvalho-Silva;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
11361;Piper;corcovadensis;var. longiracemosum;(Yunck.) E.F. Guim. & M. Carvalho-Silva;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
12003;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
12002;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
13250;Ottonia;sampaioi;;Vell.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
38683;Piper;quadratiovarium;;Yunck.;Piper;hoffmannseggianum;;Schult.
34904;Piper;quadratiovarium;;Yunck.;Piper;hoffmannseggianum;;Schult.
24939;Ottonia;edwallii;;Trel.;Piper;miquelianum;;C. DC.
25246;Ottonia;elocalis;;Trel.;Piper;miquelianum;;C. DC.
25240;Ottonia;hammari;;Trel.;Piper;miquelianum;;C. DC.
25238;Ottonia;hoehnei;;Trel.;Piper;miquelianum;;C. DC.
24777;Ottonia;martiana;;Miq.;Piper;miquelianum;;C. DC.
24805;Ottonia;martiana;;Miq.;Piper;miquelianum;;C. DC.
24761;Ottonia;martiana;;Miq.;Piper;miquelianum;;C. DC.
24809;Ottonia;martiana;;Miq.;Piper;miquelianum;;C. DC.
25107;Ottonia;palhosana;;Trel.;Piper;miquelianum;;C. DC.
21291;Ottonia;pickelii;;Yunck.;Piper;miquelianum;;C. DC.
39529;Ottonia;pickelii;;Yunck.;Piper;miquelianum;;C. DC.
24940;Ottonia;riofeioana;;Trel.;Piper;miquelianum;;C. DC.
25255;Ottonia;santa-annae;;Trel.;Piper;miquelianum;;C. DC.
13263;Ottonia;leptostachya;;Yunck.;Piper;ovatum;var. hirtellum;C. DC.
25166;Piper;frutescens;;C.DC.;Piper;ovatum;var. hirtellum;C. DC.
25967;Piper;frutescens;;C.DC.;Piper;ovatum;var. hirtellum;C. DC.
7459;Piper;setebarraense;pilosum;E.F.Guim. & L.H.P.Costa;Piper;setebarraense;;E.F. Guim. & L.H.P. Costa
23998;Piper;setebarraense;;E. Guim & L. Costa;Piper;setebarraense;;E.F. Guim. & L.H.P. Costa
25048;Piper;setebarraense;setebarraense;E.F.Guim. & L.H.P.Costa;Piper;setebarraense;;E.F. Guim. & L.H.P. Costa
46937;Piper;setebarraense;;E.F.Guim. & L.Costa;Piper;setebarraense;;E.F. Guim. & L.H.P. Costa
46939;Piper;setebarraense;;E.F.Guim. & L.Costa;Piper;setebarraense;;E.F. Guim. & L.H.P. Costa
46940;Piper;setebarraense;;E.F.Guim. & L.Costa;Piper;setebarraense;;E.F. Guim. & L.H.P. Costa
21115;Piper;setebarraense;;E.F.Guim. & L.H.P.Costa;Piper;setebarraense;;E.F. Guim. & L.H.P. Costa
46938;Piper;setebarraense;;E.F.Guim. & L.Costa;Piper;setebarraense;;E.F. Guim. & L.H.P. Costa
46941;Piper;setebarraense;;E.F.Guim. & L.Costa;Piper;setebarraense;;E.F. Guim. & L.H.P. Costa
9762;Piper;corcovadensis;;(Miq.) DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
9817;Piper;corcovadensis;;(Miq.) DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
8877;Piper;corcovadensis;;(Miq.) DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
8879;Piper;corcovadensis;;(Miq.) DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
8884;Piper;corcovadensis;;(Miq.) DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
8883;Piper;corcovadensis;;(Miq.) DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
8886;Piper;corcovadensis;;(Miq.) DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
10267;Piper;corcovadensis;;(Miq.) DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
9374;Piper;corcovadensis;;(Miq.) DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
9451;Piper;corcovadensis;;(Miq.) DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
9529;Piper;corcovadensis;;(Miq.) DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
9578;Piper;corcovadensis;;(Miq.) DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
9556;Piper;corcovadensis;;(Miq.) DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
10112;Piper;corcovadensis;;(Miq.) DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
38151;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
38693;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
39640;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
40813;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
37365;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
8878;Piper;corcovadensis;;(Miq.) DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
20864;Ottonia;anisum;;Spreng.;Piper;anisum;;(Spreng.) Angely
22556;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
21257;Piper;corcovadensis;;(Miq.) C.DC.;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
46936;Piper;setebarraense;;E.F.Guim. & L.Costa;Piper;setebarraense;;E.F. Guim. & L.H.P. Costa
25047;Piper;setebarraense;;E.F.Guim. & L.Costa;Piper;setebarraense;;E.F. Guim. & L.H.P. Costa
25165;Piper;corcovadensis;blanchetii;(Moric.) Callejas;Piper;grazielae;;M. Carv.-Silva & E.F. Guim.
25254;Ottonia;loefgreni;;Trel.;Piper;miquelianum;;C. DC.
40889;Piper;quadratiovarium;;Yunck.;Piper;hoffmannseggianum;;Schult.
